GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total Population 18+,White 18+ (NH),Black 18+ (NH),Hispanic 18+,Asian and Pacific Islander 18+ (NH),Native American 18+ (NH),Other 18+ (NH)
100030166081,1,Block Group 1_ Tract 16608,New Castle,1861,1558,217,31,15,8,32,1407,1202,150,22,11,7,15
100030160001,1,Block Group 1_ Tract 16,New Castle,2801,904,1484,301,30,16,66,2080,744,1093,180,27,11,25
100030004002,1,Block Group 2_ Tract 4,New Castle,1321,289,898,80,23,6,25,987,251,651,54,13,3,15
100030004003,1,Block Group 3_ Tract 4,New Castle,744,392,292,31,8,1,20,641,328,265,27,8,1,12
100030004001,1,Block Group 1_ Tract 4,New Castle,891,573,270,24,9,1,14,758,491,234,18,6,1,8
100030005004,1,Block Group 4_ Tract 5,New Castle,774,150,584,24,1,0,15,610,136,445,16,0,0,13
100030005001,1,Block Group 1_ Tract 5,New Castle,991,30,910,24,8,3,16,658,25,606,10,6,1,10
100030005002,1,Block Group 2_ Tract 5,New Castle,1116,22,1000,75,1,2,16,804,21,724,45,1,2,11
100030005003,1,Block Group 3_ Tract 5,New Castle,766,23,680,28,9,9,17,536,23,471,20,6,4,12
100030006011,1,Block Group 1_ Tract 601,New Castle,1185,116,1008,42,1,0,18,916,114,761,33,1,0,7
100030006012,1,Block Group 2_ Tract 601,New Castle,856,34,753,45,0,2,22,622,31,550,31,0,2,8
100030006013,1,Block Group 3_ Tract 601,New Castle,869,10,789,46,8,1,15,569,9,522,27,8,0,3
100030006021,1,Block Group 1_ Tract 602,New Castle,935,19,861,22,6,6,21,704,17,653,11,3,5,15
100030148084,1,Block Group 4_ Tract 14808,New Castle,736,379,256,23,63,1,14,574,302,198,23,43,1,7
100030148073,1,Block Group 3_ Tract 14807,New Castle,3003,1851,668,202,188,3,91,2370,1559,480,128,153,3,47
100030162001,1,Block Group 1_ Tract 162,New Castle,645,563,47,20,3,0,12,549,482,40,19,3,0,5
100030161002,1,Block Group 2_ Tract 161,New Castle,785,699,46,14,18,3,5,696,630,37,10,14,3,2
100030158021,1,Block Group 1_ Tract 15802,New Castle,906,436,181,262,3,4,20,643,340,135,155,3,4,6
