GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote
48233233 0043,0,233 0043,,3266,1829,144,1217,67,0,9,754,186,563
48233233 0034,0,233 0034,,1092,854,23,190,22,0,3,425,59,364
48233233 0012,0,233 0012,,2334,2098,15,145,76,0,0,1269,159,1093
48341341 0203,0,341 0203,,130,114,0,9,7,0,0,40,8,32
48233233 0014,0,233 0014,,2754,2438,52,174,90,0,0,1507,198,1296
48359359 0404,0,359 0404,,248,184,5,57,1,0,1,118,15,103
48065065 0302,0,065 0302,,529,478,17,25,8,0,1,186,29,157
48451451 0241,0,451 0241,,2077,1859,18,153,45,0,2,1225,227,991
48451451 0249,0,451 0249,,1643,1472,15,108,44,0,4,1046,192,850
48451451 0225,0,451 0225,,2369,1991,100,203,67,0,8,985,166,812
48459459 0007,0,459 0007,,2554,1927,474,121,30,0,2,860,289,568
48463463 0012,0,463 0012,,2644,1397,5,1199,35,0,8,1094,397,691
48463463 0017,0,463 0017,,2667,759,6,1878,24,0,0,848,470,372
48463463 0018,0,463 0018,,2667,98,13,2544,8,0,4,661,554,104
48463463 0019,0,463 0019,,1197,74,7,1098,8,0,10,319,259,59
48465465 0033,0,465 0033,,3025,1277,11,1685,47,0,5,960,305,647
48465465 0041B,0,465 0041B,,2236,251,11,1956,13,0,5,407,247,158
48465465 0031,0,465 0031,,6122,2664,117,3172,158,0,11,2662,1089,1557
48465465 0030,0,465 0030,,4303,865,105,3243,82,0,8,1162,706,453
48359359 0101,0,359 0101,,499,398,28,51,22,0,0,160,6,153
48375375 0323,0,375 0323,,6173,5567,31,449,119,0,7,2646,436,2186
48065065 0301,0,065 0301,,1018,922,8,76,11,0,1,480,55,417
48465465 0043,0,465 0043,,90,87,0,2,1,0,0,43,12,31
48465465 0010B,0,465 0010B,,3683,531,31,3082,31,0,8,731,440,289
48465465 0040,0,465 0040,,8352,902,48,7344,39,0,19,2030,1402,616
48465465 0011,0,465 0011,,4521,201,16,4267,30,0,7,1038,831,204
48465465 0041A,0,465 0041A,,221,24,3,194,0,0,0,42,25,16
48465465 0010A,0,465 0010A,,150,8,0,142,0,0,0,32,19,12
48467467 0001,0,467 0001,,1115,1075,3,28,8,0,1,491,103,380
48467467 0023,0,467 0023,,1267,1017,186,43,20,0,1,495,134,353
48065065 0402,0,065 0402,,609,552,5,37,15,0,0,234,29,201
48375375 0327,0,375 0327,,8247,4072,2375,1651,125,0,24,762,163,588
48179179 0002,0,179 0002,,6366,4019,746,1405,186,0,10,1536,239,1285
48179179 0001,0,179 0001,,775,735,2,29,9,0,0,313,38,272
48483483 0001,0,483 0001,,237,220,0,14,3,0,0,140,5,134
48467467 0012,0,467 0012,,2650,2439,64,112,35,0,0,1056,192,858
48467467 0024,0,467 0024,,2073,1891,11,103,68,0,0,1011,174,834
48467467 0027,0,467 0027,,1834,1690,25,72,43,0,4,739,136,598
48467467 0026,0,467 0026,,492,469,4,10,9,0,0,237,36,199
48471471 0301,0,471 0301,,6281,2068,2465,1669,61,0,18,1257,817,431
48471471 0201,0,471 0201,,7863,5044,1551,1010,239,0,19,1771,801,954
48477477 0307,0,477 0307,,1964,1323,266,235,128,0,12,745,200,537
48477477 0104,0,477 0104,,3120,871,1829,371,28,0,21,918,722,192
48477477 0121,0,477 0121,,199,134,41,24,1,0,-1,82,35,46
48477477 0320,0,477 0320,,599,429,61,91,17,0,1,210,71,138
48477477 0126,0,477 0126,,54,22,25,8,0,0,-1,22,14,8
48477477 0423,0,477 0423,,262,196,17,48,1,0,0,68,18,47
48477477 0418,0,477 0418,,275,233,21,20,0,0,1,86,30,56
48477477 0122,0,477 0122,,234,82,124,23,5,0,0,69,52,17
48477477 0124,0,477 0124,,92,65,8,18,1,0,0,23,6,17
48479479 0356,0,479 0356,,33,0,0,33,0,0,0,54,25,29
48479479 0447,0,479 0447,,2649,266,9,2355,10,0,9,613,390,220
48439439 3385,0,439 3385,,4179,3756,68,171,181,0,3,2135,605,1509
48439439 3554,0,439 3554,,4164,3658,116,186,203,0,1,2009,504,1489
48439439 3193,0,439 3193,,3420,3122,69,85,144,0,0,1853,447,1386
48439439 3421,0,439 3421,,1775,1578,10,100,88,0,-1,919,217,696
48439439 3570,0,439 3570,,2729,2316,80,172,161,0,0,1421,486,928
48439439 3387,0,439 3387,,3468,3086,73,183,127,0,-1,1570,392,1156
48439439 3049,0,439 3049,,3232,2885,77,180,89,0,1,1704,413,1278
48439439 3530,0,439 3530,,3675,3218,49,195,206,0,7,1588,510,1072
48439439 4452,0,439 4452,,1611,1158,114,233,106,0,0,770,378,388
48439439 3390,0,439 3390,,5060,4635,86,149,188,0,2,2620,647,1949
48439439 3287,0,439 3287,,5457,4497,112,495,347,0,6,1570,494,1062
48439439 3588,0,439 3588,,5125,4218,156,394,345,0,12,2615,943,1653
48439439 3234,0,439 3234,,4669,3862,187,326,294,0,0,2166,688,1457
48439439 3509,0,439 3509,,4159,3456,138,380,182,0,3,1302,430,859
48439439 3367,0,439 3367,,625,552,23,31,20,0,-1,153,36,117
48439439 4528,0,439 4528,,6138,4771,305,609,437,0,16,2385,845,1523
48439439 3248,0,439 3248,,5734,5083,122,268,260,0,1,3113,895,2198
48439439 3582,0,439 3582,,1,1,0,0,0,0,0,0,0,0
48439439 4374,0,439 4374,,4441,3013,269,641,510,0,8,1383,569,788
48439439 4540,0,439 4540,,5791,4144,385,803,457,0,2,2384,979,1384
48439439 3543,0,439 3543,,2495,2181,51,161,98,0,4,1061,335,720
48439439 4045,0,439 4045,,3726,3502,45,89,89,0,1,1902,450,1441
48439439 4429,0,439 4429,,405,184,147,74,0,0,0,254,89,162
48439439 3527,0,439 3527,,3627,3130,76,252,168,0,1,1570,454,1099
48439439 3574,0,439 3574,,6,6,0,0,0,0,0,3,0,3
48439439 3510,0,439 3510,,4187,3756,69,160,202,0,0,2249,523,1693
48439439 3063,0,439 3063,,5747,4846,160,421,313,0,7,2334,697,1617
48439439 3398,0,439 3398,,3308,2689,90,342,187,0,0,1079,385,679
48439439 4338,0,439 4338,,3671,2957,138,419,146,0,11,1800,697,1084
48439439 3177,0,439 3177,,2746,2498,31,130,86,0,1,1258,317,931
48439439 4454,0,439 4454,,6060,4628,142,1079,207,0,4,2823,878,1921
48479479 0255,0,479 0255,,1908,210,13,1665,21,0,-1,593,381,205
48479479 0345,0,479 0345,,11519,1050,62,10119,282,0,6,4193,2697,1478
48479479 0446,0,479 0446,,11533,501,19,10937,61,0,15,2371,1803,550
48479479 0344,0,479 0344,,5679,779,20,4737,139,0,4,2339,1189,1136
48479479 0343,0,479 0343,,5181,494,9,4639,33,0,6,1446,910,530
48479479 0239,0,479 0239,,5665,427,16,5184,36,0,2,1721,1132,573
48479479 0342,0,479 0342,,2710,185,2,2487,30,0,6,878,579,293
48479479 0407,0,479 0407,,1930,123,30,1727,40,0,10,176,141,35
48479479 0250,0,479 0250,,5282,126,15,5120,8,0,13,1282,957,321
48479479 0340,0,479 0340,,4437,719,0,3568,135,0,15,1351,656,692
48479479 0341,0,479 0341,,2615,392,14,2140,68,0,1,706,294,406
48479479 0308,0,479 0308,,6202,446,34,5610,102,0,10,1305,896,405
48479479 0309,0,479 0309,,6597,514,14,5989,65,0,15,1578,1077,489
48479479 0451,0,479 0451,,1554,71,2,1475,4,0,2,201,145,54
48479479 0405,0,479 0405,,6803,180,6,6602,6,0,9,908,740,159
48479479 0406,0,479 0406,,4125,180,6,3914,13,0,12,603,474,127
48479479 0310,0,479 0310,,6068,139,3,5895,6,0,25,936,722,211
48479479 0311,0,479 0311,,4326,120,6,4169,13,0,18,844,639,202
48479479 0254,0,479 0254,,2217,282,22,1885,21,0,7,238,180,57
48479479 0218,0,479 0218,,6195,329,1,5830,25,0,10,1076,736,335
48479479 0212,0,479 0212,,3941,110,0,3830,0,0,1,541,427,114
48479479 0219,0,479 0219,,3812,347,13,3385,61,0,6,793,509,280
48479479 0220,0,479 0220,,4269,139,9,4067,29,0,25,469,376,91
48479479 0404,0,479 0404,,5174,143,0,4998,10,0,23,642,481,157
48479479 0226,0,479 0226,,5719,155,5,5522,23,0,14,947,734,209
48479479 0353,0,479 0353,,3359,83,3,3239,9,0,25,467,396,69
48479479 0403,0,479 0403,,3519,57,4,3429,14,0,15,468,385,83
48479479 0313,0,479 0313,,3819,54,1,3746,10,0,8,542,433,106
48479479 0452,0,479 0452,,1395,49,0,1333,4,0,9,142,113,27
48479479 0414,0,479 0414,,2817,73,9,2732,1,0,2,395,318,77
48479479 0402,0,479 0402,,4924,116,3,4756,19,0,30,652,516,133
48479479 0401,0,479 0401,,5122,247,29,4782,44,0,20,652,508,138
48479479 0122,0,479 0122,,3835,135,5,3678,4,0,13,612,428,183
48439439 3330,0,439 3330,,1668,1492,22,58,96,0,0,917,236,671
48439439 3187,0,439 3187,,3144,2517,110,332,183,0,2,1021,356,653
48439439 3322,0,439 3322,,3219,2811,94,169,146,0,-1,1690,554,1121
48439439 4508,0,439 4508,,4363,3281,227,500,353,0,2,1305,436,861
48439439 4261,0,439 4261,,6032,4188,312,910,602,0,20,1906,814,1069
48439439 3586,0,439 3586,,5,5,0,0,0,0,0,1,0,1
48439439 3549,0,439 3549,,443,409,0,16,18,0,0,170,50,119
48439439 3433,0,439 3433,,589,522,11,16,40,0,0,287,78,205
48439439 3260,0,439 3260,,2496,2267,37,90,102,0,0,1117,318,790
48439439 3332,0,439 3332,,4417,3526,71,532,283,0,5,1428,571,837
48439439 3516,0,439 3516,,2878,2657,35,89,97,0,0,1502,401,1090
48439439 3507,0,439 3507,,5399,4439,159,581,215,0,5,1535,552,963
48439439 3562,0,439 3562,,196,174,0,11,11,0,0,78,17,60
48439439 3583,0,439 3583,,0,0,0,0,0,0,0,0,0,0
48439439 4232,0,439 4232,,12459,8147,228,1316,2763,0,5,5849,2339,3460
48439439 3443,0,439 3443,,3609,3033,118,266,186,0,6,1661,586,1056
48439439 3196,0,439 3196,,3046,2756,73,102,115,0,0,1558,479,1060
48439439 3037,0,439 3037,,4581,4042,98,210,231,0,0,2004,610,1381
48439439 3333,0,439 3333,,5559,4124,293,862,272,0,8,2556,948,1583
48439439 3539,0,439 3539,,23,21,0,2,0,0,0,5,1,4
48439439 3324,0,439 3324,,3985,3463,55,332,132,0,3,1551,471,1064
48439439 3368,0,439 3368,,1197,1114,8,50,26,0,-1,611,163,446
48439439 3283,0,439 3283,,2908,2525,53,148,182,0,0,1214,384,817
48439439 3584,0,439 3584,,0,0,0,0,0,0,0,0,0,0
48439439 3214,0,439 3214,,4110,3300,137,431,241,0,1,1721,564,1144
48439439 3194,0,439 3194,,5103,4049,114,618,310,0,12,1321,482,824
48439439 4533,0,439 4533,,3578,2779,126,469,199,0,5,908,285,615
48439439 4410,0,439 4410,,4548,3031,293,568,642,0,14,1704,735,957
48439439 4250,0,439 4250,,3075,2436,131,296,210,0,2,1412,523,873
48439439 4222,0,439 4222,,2789,1846,36,840,60,0,7,714,320,385
48439439 4499,0,439 4499,,3779,1818,610,1245,101,0,5,1695,762,926
48439439 4018,0,439 4018,,2307,1942,15,300,50,0,0,696,231,457
48439439 4053,0,439 4053,,2171,1738,49,319,63,0,2,650,215,430
48439439 3585,0,439 3585,,0,0,0,0,0,0,0,0,0,0
48439439 4531,0,439 4531,,5069,4151,65,714,134,0,5,1871,602,1258
48439439 3200,0,439 3200,,4537,3695,283,325,230,0,4,1732,626,1087
48439439 3249,0,439 3249,,4804,3643,229,412,510,0,10,2158,843,1295
48439439 3334,0,439 3334,,4108,3337,239,309,220,0,3,1342,535,797
48439439 3364,0,439 3364,,855,676,31,68,79,0,1,449,180,267
48439439 3416,0,439 3416,,237,190,3,30,15,0,-1,64,26,36
48439439 4191,0,439 4191,,2844,2136,56,392,260,0,0,777,247,523
48479479 0221,0,479 0221,,2862,292,12,2542,13,0,3,716,449,266
48479479 0215,0,479 0215,,4158,178,5,3949,20,0,6,690,506,181
48479479 0416,0,479 0416,,4027,84,4,3902,6,0,31,419,341,75
48479479 0417,0,479 0417,,1878,109,3,1742,16,0,8,316,208,106
48479479 0225,0,479 0225,,2091,29,0,2049,4,0,9,479,381,96
48479479 0124,0,479 0124,,5688,192,0,5478,9,0,9,937,749,185
48479479 0423,0,479 0423,,3169,78,0,3077,5,0,9,459,366,90
48479479 0231,0,479 0231,,7761,341,12,7341,41,0,26,2087,1634,446
48479479 0128,0,479 0128,,1923,80,2,1827,3,0,11,246,199,44
48479479 0129,0,479 0129,,6765,248,1,6469,14,0,33,1121,945,166
48479479 0130,0,479 0130,,11526,307,0,11150,30,0,39,1756,1485,257
48483483 0002,0,483 0002,,850,718,13,112,7,0,0,362,43,319
48485485 0025,0,485 0025,,2400,1977,136,223,62,0,2,647,178,459
48485485 0024,0,485 0024,,3779,3454,50,178,93,0,4,2167,433,1720
48485485 0032,0,485 0032,,5138,4823,19,181,112,0,3,2586,464,2109
48485485 0039,0,485 0039,,4642,2153,1337,1121,30,0,1,522,107,411
48439439 3156,0,439 3156,,2722,2485,31,128,77,0,1,1310,354,950
48439439 3282,0,439 3282,,3412,2650,96,558,102,0,6,1266,379,878
48439439 3517,0,439 3517,,4715,3650,255,526,279,0,5,1400,594,790
48439439 3366,0,439 3366,,4,4,0,0,0,0,0,5,0,5
48439439 3041,0,439 3041,,6683,4810,334,1178,355,0,6,1377,532,824
48439439 3157,0,439 3157,,5185,4171,205,530,280,0,-1,1507,628,859
48439439 3327,0,439 3327,,2572,2222,56,166,128,0,0,1277,386,877
48439439 3212,0,439 3212,,5145,3979,304,526,332,0,4,1692,696,983
48439439 4093,0,439 4093,,6936,1209,278,5323,103,0,23,849,579,258
48439439 3140,0,439 3140,,3108,2801,35,193,79,0,0,1244,374,863
48439439 3424,0,439 3424,,1142,1030,28,34,50,0,0,546,102,442
48439439 3625,0,439 3625,,542,395,63,52,30,0,2,0,0,0
48439439 4141,0,439 4141,,5253,3424,237,921,662,0,9,1480,593,864
48439439 3254,0,439 3254,,4502,3657,227,364,238,0,16,1496,627,847
48439439 3215,0,439 3215,,2599,2278,41,140,139,0,1,1177,323,835
48439439 3172,0,439 3172,,5291,4355,223,482,220,0,11,1777,668,1096
48439439 3326,0,439 3326,,1882,1533,58,228,63,0,0,550,214,333
48439439 3032,0,439 3032,,2440,2087,54,176,117,0,6,1000,298,688
48439439 3575,0,439 3575,,0,0,0,0,0,0,0,0,0,0
48439439 3631,0,439 3631,,0,0,0,0,0,0,0,0,0,0
48439439 4050,0,439 4050,,4296,285,811,3156,29,0,15,601,526,73
48439439 4290,0,439 4290,,5208,4116,59,801,221,0,11,1511,557,939
48439439 4629,0,439 4629,,0,0,0,0,0,0,0,0,0,0
48439439 3399,0,439 3399,,381,352,5,16,8,0,0,144,32,108
48439439 3414,0,439 3414,,199,122,20,13,44,0,0,44,18,25
48439439 3289,0,439 3289,,5264,4251,148,611,249,0,5,1648,605,1025
48439439 3131,0,439 3131,,3350,2823,88,314,125,0,0,1142,375,752
48439439 4017,0,439 4017,,8304,1236,835,6116,99,0,18,1168,833,330
48439439 1615,0,439 1615,,0,0,0,0,0,0,0,0,0,0
48439439 3166,0,439 3166,,6560,4331,759,1137,297,0,36,1308,615,670
48439439 3139,0,439 3139,,2918,2358,98,342,106,0,14,782,325,444
48439439 3247,0,439 3247,,4354,2599,728,723,288,0,16,1107,525,569
48439439 3213,0,439 3213,,3450,2985,37,348,74,0,6,1183,420,751
48439439 3176,0,439 3176,,6164,4579,300,1021,250,0,14,2056,761,1270
48439439 1547,0,439 1547,,0,0,0,0,0,0,0,1,1,0
48439439 3325,0,439 3325,,1805,1620,10,133,37,0,5,697,218,468
48439439 4091,0,439 4091,,5063,4126,37,710,188,0,2,1438,449,972
48439439 3407,0,439 3407,,67,61,4,2,0,0,0,33,14,19
48439439 1560,0,439 1560,,0,0,0,0,0,0,0,0,0,0
48439439 3627,0,439 3627,,47,45,0,2,0,0,0,20,14,6
48439439 4328,0,439 4328,,4360,2921,140,934,360,0,5,808,320,481
48439439 3621,0,439 3621,,0,0,0,0,0,0,0,0,0,0
48439439 4159,0,439 4159,,3977,2776,54,838,296,0,13,958,388,557
48439439 3633,0,439 3633,,394,105,16,122,151,0,0,13,4,9
48439439 4162,0,439 4162,,2899,1521,134,1004,230,0,10,482,229,252
48439439 4577,0,439 4577,,339,250,14,69,5,0,1,54,20,34
48485485 0047,0,485 0047,,725,674,0,41,10,0,0,425,65,360
48485485 0020,0,485 0020,,3897,2841,368,426,251,0,11,1340,468,861
48485485 0033,0,485 0033,,2206,2073,21,65,45,0,2,850,149,693
48485485 0038,0,485 0038,,1855,471,1175,154,50,0,5,630,507,119
48485485 0035,0,485 0035,,1365,630,388,235,100,0,12,259,141,116
48485485 0041B,0,485 0041B,,1226,973,24,197,32,0,0,415,144,262
