GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH)
5301919021 ,0,S Malo Voting District,,275,263,0,5,1,0,6
53073MTBKERAAAAAA,0,,,0,0,0,0,0,0,0
53073MTBKERAAAAAAA,0,,,0,0,0,0,0,0,0
53073MTBKERAAAAAAAA,0,,,0,0,0,0,0,0,0
5304749    A,0,,,0,0,0,0,0,0,0
53073MTBKERAAAAAAAAA,0,,,0,0,0,0,0,0,0
53073731131,0,73Bham 131 Voting District*,,2390,1940,48,187,131,21,63
53073730033,0,73Lummi Res N Voting District,,1297,272,3,55,5,914,48
53073730039,0,73Marietta 1 Voting District,,796,673,2,29,5,62,25
53073730040,0,73Marietta 2 Voting District,,1559,1281,17,107,87,39,28
53073730066,0,73Van Wyck 3 Voting District*,,1038,978,7,24,15,3,11
53073730065,0,73Van Wyck 2 Voting District,,1097,1014,2,34,17,12,18
53073730041,0,73Marietta 3 Voting District,,301,276,1,17,1,5,1
53073MTBKERAAAAAAAAAA,0,,,0,0,0,0,0,0,0
5306565009 ,0,Evans Voting District,,527,455,0,10,3,19,40
53073MTBKERAAAAAAAAAAA,0,,,0,0,0,0,0,0,0
53073MTBKERAAAAAAAAAAAA,0,,,0,0,0,0,0,0,0
530474     ,0,47Beeman Voting District,,192,176,0,11,1,0,4
53073MTBKERAAAAAAAAAAAAA,0,,,0,0,0,0,0,0,0
5306565008 ,0,Echo Voting District,,1173,1107,1,12,7,7,39
53073WVBY42AAAA,0,,,0,0,0,0,0,0,0
53073731152,0,73Bham 152 Voting District,,2852,2193,31,221,257,37,113
53073730064,0,73Van Wyck 1 Voting District,,1291,1197,3,41,18,13,19
5304743    ,0,47Tonasket Rural Voting District,,685,551,1,109,4,13,7
5306565011 ,0,Kelly Hill Voting District,,195,170,1,5,1,9,9
53073731092,0,73Bham 92 Voting District*,,824,681,12,52,58,10,11
5301919023 ,0,Torboy Voting District,,317,289,0,15,2,3,8
5301919002 ,0,Boyds Voting District,,321,292,0,10,1,8,10
