GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total Population 18+,White 18+ (NH),Black 18+ (NH),Hispanic 18+,Asian and Pacific Islander 18+ (NH),Native American 18+ (NH),Other 18+ (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote,Avg Dem Vote,Avg Rep Vote
410359719004,2,Block Group 4_ Tract 9719,Klamath,813,669,10,62,3,40,29,619,524,6,39,3,28,19,226,96,120,0,0
410359719003,2,Block Group 3_ Tract 9719,Klamath,585,431,14,57,25,33,25,452,350,11,29,21,27,14,190,73,111,0,0
410699601001,2,Block Group 1_ Tract 9601,Wheeler,643,570,0,32,4,11,26,529,480,0,27,3,7,12,329,143,174,0,0
410699601002,2,Block Group 2_ Tract 9601,Wheeler,798,737,0,30,6,5,20,653,620,0,13,4,3,13,476,138,324,0,0
410470108014,5,Block Group 4_ Tract 10801,Marion,692,627,2,40,4,6,13,517,482,1,18,3,4,9,356,134,213,0,0
410470108022,5,Block Group 2_ Tract 10802,Marion,1164,1032,5,73,30,7,17,926,845,1,47,20,6,7,718,282,423,0,0
410470107022,5,Block Group 2_ Tract 10702,Marion,2464,2184,1,159,22,37,61,1815,1647,1,88,21,22,36,1156,410,716,0,0
410470108024,5,Block Group 4_ Tract 10802,Marion,2354,1868,2,379,20,42,43,1683,1410,1,208,15,28,21,918,373,519,0,0
410470108023,5,Block Group 3_ Tract 10802,Marion,1136,819,4,260,4,12,37,776,599,2,141,4,10,20,390,161,217,0,0
410470016034,5,Block Group 4_ Tract 1603,Marion,1316,676,8,501,89,13,29,883,509,6,282,64,10,12,405,207,188,0,0
410470028002,5,Block Group 2_ Tract 28,Marion,2356,2066,10,126,63,23,68,1839,1662,6,75,43,14,39,1341,676,641,0,0
410470027002,5,Block Group 2_ Tract 27,Marion,866,783,2,60,4,10,7,685,637,0,33,3,6,6,451,172,269,0,0
410470108015,5,Block Group 5_ Tract 10801,Marion,1605,1258,3,223,13,40,68,1094,907,3,110,9,30,35,626,230,379,0,0
410470016012,5,Block Group 2_ Tract 1601,Marion,3529,2150,49,865,318,28,119,2533,1704,38,496,229,21,45,1388,677,678,0,0
410470026002,5,Block Group 2_ Tract 26,Marion,1057,936,1,102,9,4,5,748,691,1,49,3,1,3,472,143,318,0,0
410470009004,5,Block Group 4_ Tract 9,Marion,824,619,10,124,28,12,31,668,526,7,77,25,9,24,291,202,79,0,0
