GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote
470532796,8,06-10-5 Humboldt Old Armory Voting District,Gibson,1772,838,837,76,1,3,17,687,412,262
470532784,8,02-6-3 Humboldt Church of Christ Voting District,Gibson,1966,1510,360,68,3,1,24,921,272,638
470532888,8,11-26 Gann Voting District,Gibson,915,881,4,10,1,0,19,394,72,317
470532816,8,16-18 Kenton Voting District,Gibson,980,787,162,26,3,0,2,404,125,272
470532860,8,01-2 Sitka Community Center Voting District,Gibson,1292,1096,153,26,5,2,10,615,140,469
470532832,8,14-30 Milan First Assembly of God Voting District,Gibson,1710,1310,327,31,0,5,37,672,287,376
470532840,8,13-29 Milan Polk Clark School Voting District,Gibson,1657,491,1071,40,8,4,43,591,492,95
470532838,8,15-31 Milan Municipal Bldg Voting District,Gibson,2096,1710,245,74,7,9,51,956,281,660
470532836,8,12-28 Milan Express Bldg Voting District,Gibson,2043,1851,118,40,12,7,15,1169,227,924
470532876,8,10-22 Trenton City Hall Voting District,Gibson,3522,2201,1153,89,1,23,55,1423,703,706
470552912,7,7A GCHS Voting District,Giles,1499,1237,168,42,7,3,42,535,253,273
470552900,7,6B BMS Voting District,Giles,1777,919,784,16,1,2,55,686,550,132
470552932,7,6A MMC Colonial Hall Voting District,Giles,2389,1717,517,67,14,7,67,839,467,358
470552920,7,3A Richland Trace Market Voting District,Giles,1853,1682,118,11,6,4,32,804,265,523
470552952,7,5A TN-Tech Voting District,Giles,3006,2626,256,50,11,8,55,1168,426,730
470552916,7,1B Prospect Voting District,Giles,1817,1570,155,36,4,16,36,739,273,457
470552904,7,2B Airport Voting District,Giles,1333,1214,85,14,3,0,17,516,190,315
470552948,7,7B Rec Center Voting District,Giles,2322,1799,397,49,25,2,50,954,469,470
470552936,7,5B Co-Op Voting District,Giles,1463,1329,64,13,14,11,32,769,226,535
470552924,7,3B Campbellsville Voting District,Giles,2365,2274,28,42,1,4,16,814,284,514
470552940,7,4A Lynnville Voting District,Giles,2349,2175,112,29,4,5,24,1043,330,691
470552928,7,4B Odd Fellows Hall Voting District,Giles,1993,1867,42,30,8,4,42,840,233,596
470552944,7,2A Minor Hill Voting District,Giles,2809,2655,58,31,7,15,43,990,314,659
470552908,7,1A Ardmore Voting District,Giles,2510,2157,222,41,13,14,63,992,334,649
470572988,2,4-2 Washburn Ele. School Voting District,Grainger,2099,2054,0,30,2,2,11,614,149,459
470572964,2,1-2 Old Central Point School Voting District,Grainger,2176,2056,11,92,2,1,14,857,196,645
470572960,2,1-1 Rutledge Middle School Voting District,Grainger,2123,2005,24,57,5,3,29,744,202,520
470572980,2,3-2 Indian Ridge Comm. Blg. Voting District,Grainger,2316,2284,7,20,2,0,3,797,157,623
470572976,2,3-1 Blaine City Hall Voting District,Grainger,2571,2508,17,23,3,1,19,947,276,647
470572984,2,4-1 Thorn Hill Comm. Blg. Voting District,Grainger,1856,1803,10,18,1,4,20,513,208,293
470572968,2,2-1 Bean Station Ele. School Voting District,Grainger,1882,1806,8,34,0,11,23,537,192,335
470572972,2,2-2 Grainger High School Voting District,Grainger,2963,2726,10,174,5,7,41,989,236,741
470572992,2,5-2 Senior Citizens Center Voting District,Grainger,2682,2578,11,53,5,3,32,804,198,593
470572994,2,5-1 Bean Station Library Voting District,Grainger,1989,1933,3,29,2,4,18,701,252,441
470593108,1,18 South Greene Voting District,Greene,2130,2080,15,18,3,1,13,852,268,573
470593076,1,10-2 Middle School Voting District,Greene,2007,1863,48,43,25,3,25,818,273,537
470593000,1,10-2 Andrew Johnson Voting District,Greene,1949,1369,380,127,6,9,58,545,368,169
470593096,1,08 Mt. Pleasant Voting District,Greene,3142,2930,54,84,23,9,42,967,294,651
470593060,1,10-1 Highland Roby Voting District,Greene,1229,1087,65,40,7,3,27,383,157,223
